date,s&p500,dividend,earnings,cpi,bondInterest
1881-08,6.20,0.30,0.46,9.800,3.653
1881-09,6.25,0.31,0.45,10.181,3.647
1881-10,6.15,0.31,0.45,10.276,3.640
1881-11,6.19,0.32,0.44,10.181,3.633
1881-12,6.01,0.32,0.44,10.181,3.627
1882-01,5.92,0.32,0.44,10.181,3.620
1882-02,5.79,0.32,0.44,10.276,3.621
1882-03,5.78,0.32,0.44,10.276,3.622
1882-04,5.78,0.32,0.44,10.371,3.623
1882-05,5.71,0.32,0.44,10.466,3.623
1882-06,5.68,0.32,0.44,10.561,3.624
1882-07,6.00,0.32,0.43,10.466,3.625
1882-08,6.18,0.32,0.43,10.561,3.626
1882-09,6.24,0.32,0.43,10.276,3.627
1882-10,6.07,0.32,0.43,10.181,3.628
1882-11,5.81,0.32,0.43,10.085,3.628
1882-12,5.84,0.32,0.43,9.990,3.629
1883-01,5.81,0.32,0.43,9.990,3.630
1883-02,5.68,0.32,0.43,10.085,3.629
1883-03,5.75,0.32,0.42,9.990,3.628
1883-04,5.87,0.32,0.42,9.895,3.628
1883-05,5.77,0.32,0.42,9.800,3.627
1883-06,5.82,0.33,0.42,9.515,3.626
1883-07,5.73,0.33,0.41,9.324,3.625
1883-08,5.47,0.33,0.41,9.324,3.624
1883-09,5.53,0.33,0.41,9.229,3.623
1883-10,5.38,0.33,0.41,9.229,3.623
1883-11,5.46,0.33,0.40,9.134,3.622
1883-12,5.34,0.33,0.40,9.229,3.621
1884-01,5.18,0.33,0.39,9.229,3.620
1884-02,5.32,0.33,0.39,9.229,3.612
1884-03,5.30,0.33,0.38,9.229,3.603
1884-04,5.06,0.32,0.37,9.039,3.595
1884-05,4.65,0.32,0.36,8.849,3.587
1884-06,4.46,0.32,0.36,8.849,3.578
1884-07,4.46,0.32,0.35,8.753,3.570
1884-08,4.74,0.32,0.34,8.753,3.562
1884-09,4.59,0.32,0.33,8.658,3.553
1884-10,4.44,0.31,0.33,8.563,3.545
1884-11,4.35,0.31,0.32,8.373,3.537
1884-12,4.34,0.31,0.31,8.278,3.528
1885-01,4.24,0.30,0.31,8.278,3.520
1885-02,4.37,0.30,0.30,8.373,3.508
1885-03,4.38,0.29,0.30,8.183,3.495
1885-04,4.37,0.29,0.30,8.278,3.483
1885-05,4.32,0.28,0.29,8.087,3.470
1885-06,4.30,0.28,0.29,7.897,3.458
1885-07,4.46,0.27,0.29,7.992,3.445
1885-08,4.71,0.26,0.28,7.992,3.433
1885-09,4.65,0.26,0.28,7.897,3.420
1885-10,4.92,0.25,0.28,7.897,3.408
1885-11,5.24,0.25,0.27,7.992,3.395
1885-12,5.20,0.24,0.27,8.183,3.383
1886-01,5.20,0.24,0.28,7.992,3.370
1886-02,5.30,0.24,0.28,7.992,3.383
1886-03,5.19,0.24,0.29,7.897,3.395
1886-04,5.12,0.23,0.29,7.802,3.408
1886-05,5.02,0.23,0.30,7.612,3.420
1886-06,5.25,0.23,0.30,7.517,3.433
1886-07,5.33,0.23,0.31,7.612,3.445
1886-08,5.37,0.23,0.31,7.707,3.458
1886-09,5.51,0.23,0.32,7.707,3.470
1886-10,5.65,0.22,0.32,7.707,3.483
1886-11,5.79,0.22,0.33,7.707,3.495
1886-12,5.64,0.22,0.33,7.802,3.508
1887-01,5.58,0.22,0.33,7.992,3.520
1887-02,5.54,0.23,0.34,8.087,3.533
1887-03,5.67,0.23,0.34,8.087,3.545
1887-04,5.80,0.23,0.34,8.087,3.558
1887-05,5.90,0.23,0.34,8.087,3.570
1887-06,5.73,0.24,0.35,7.992,3.583
1887-07,5.59,0.24,0.35,7.897,3.595
1887-08,5.45,0.24,0.35,7.992,3.608
1887-09,5.38,0.24,0.35,7.897,3.620
1887-10,5.20,0.25,0.36,7.992,3.633
1887-11,5.30,0.25,0.36,8.087,3.645
1887-12,5.27,0.25,0.36,8.278,3.658
1888-01,5.31,0.25,0.35,8.373,3.670
1888-02,5.28,0.25,0.34,8.278,3.652
1888-03,5.08,0.25,0.34,8.278,3.633
1888-04,5.10,0.24,0.33,8.183,3.615
1888-05,5.17,0.24,0.32,8.087,3.597
1888-06,5.01,0.24,0.31,7.992,3.578
1888-07,5.14,0.24,0.30,8.087,3.560
1888-08,5.25,0.24,0.29,8.087,3.542
1888-09,5.38,0.24,0.29,8.087,3.523
1888-10,5.35,0.23,0.28,8.183,3.505
1888-11,5.24,0.23,0.27,8.278,3.487
1888-12,5.14,0.23,0.26,8.278,3.468
1889-01,5.24,0.23,0.26,7.992,3.450
1889-02,5.30,0.23,0.27,7.897,3.448
1889-03,5.19,0.23,0.27,7.802,3.445
1889-04,5.18,0.23,0.27,7.802,3.443
1889-05,5.32,0.23,0.28,7.612,3.440
1889-06,5.41,0.23,0.28,7.612,3.438
